Date,Time,Annotation,Channel Name,Ocean Region,GES ID (octal),Channel Unit ID,Channel Type,SU Type,Burst Frequency Offset (Hz) BFO,Burst Timing Offset (microseconds) BTO
7/3/14,16:41,Take-Off.Logged-On to Ground Earth Station (GES) 305/301 via the Indian Ocean Region (IOR) Inmarsat I-3 satellite,,,,,,,,
7/3/14, 16:41:52.907,, IOR-R1200-0-36ED, IOR,305,4, R-Channel RX, 0x22 - Access Request (R/T-Channel),141,14940
7/3/14, 16:41:53.405,, IOR-P10500-0-3859, IOR,305,10, P-Channel TX, 0x51 - T-Channel Assignment,,
7/3/14, 16:41:57.248,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, 0x71 - User Data (ISU) - RLS,142,9920
7/3/14, 16:41:57.409,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, Subsequent Signalling Unit,142,9920
7/3/14, 16:41:57.569,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, Subsequent Signalling Unit,140,9920
7/3/14, 16:41:57.728,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, 0x22 - Access Request (R/T-Channel),140,9920
7/3/14, 16:41:57.905,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, Subsequent Signalling Unit,140,9920
7/3/14, 16:41:58.048,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, Subsequent Signalling Unit,140,9920
7/3/14, 16:41:58.208,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, Subsequent Signalling Unit,140,9920
7/3/14, 16:41:58.399,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, Subsequent Signalling Unit,140,9920
7/3/14, 16:41:58.405,, IOR-P10500-0-3859, IOR,305,10, P-Channel TX, 0x51 - T-Channel Assignment,,
7/3/14, 16:41:58.528,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, Subsequent Signalling Unit,141,9920
7/3/14, 16:41:58.697,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, Subsequent Signalling Unit,141,9920
7/3/14, 16:41:58.729,, IOR-T1200-0-36FA, IOR,305,10, T-Channel RX, Subsequent Signalling Unit,141,9920
7/3/14, 16:41:59.405,, IOR-P10500-0-3859, IOR,305,10, P-Channel TX, 0x62 - Acknowledge User Data,,
7/3/14, 16:42:00.405,, IOR-P10500-0-3859, IOR,305,10, P-Channel TX, 0x71 - User Data (ISU) - RLS,,
7/3/14, 16:42:00.405,, IOR-P10500-0-3859, IOR,305,10, P-Channel TX, Subsequent Signalling Unit,,
7/3/14, 16:42:00.405,, IOR-P10500-0-3859, IOR,305,10, P-Channel TX, Subsequent Signalling Unit,,
7/3/14, 16:42:00.405,, IOR-P10500-0-3859, IOR,305,10, P-Channel TX, Subsequent Signalling Unit,,
7/3/14, 16:42:02.068,, IOR-T1200-0-36D7, IOR,305,8, T-Channel RX, 0x71 - User Data (ISU) - RLS,147,9980
7/3/14, 16:42:02.229,, IOR-T1200-0-36D7, IOR,305,8, T-Channel RX, Subsequent Signalling Unit,147,9980
7/3/14, 16:42:02.388,, IOR-T1200-0-36D7, IOR,305,8, T-Channel RX, Subsequent Signalling Unit,147,9980
7/3/14, 16:42:02.553,, IOR-T1200-0-36D7, IOR,305,8, T-Channel RX, Subsequent Signalling Unit,147,9980
7/3/14, 16:42:02.708,, IOR-T1200-0-36D7, IOR,305,8, T-Channel RX, Subsequent Signalling Unit,148,9980
7/3/14, 16:42:02.868,, IOR-T1200-0-36D7, IOR,305,8, T-Channel RX, Subsequent Signalling Unit,148,9980
7/3/14, 16:42:03.028,, IOR-T1200-0-36D7, IOR,305,8, T-Channel RX, Subsequent Signalling Unit,149,9980
7/3/14, 16:42:03.188,, IOR-T1200-0-36D7, IOR,305,8, T-Channel RX, Subsequent Signalling Unit,149,9980
7/3/14, 16:42:03.348,, IOR-T1200-0-36D7, IOR,305,8, T-Channel RX, Subsequent Signalling Unit,148,9980
7/3/14, 16:42:03.508,, IOR-T1200-0-36D7, IOR,305,8, T-Channel RX, Subsequent Signalling Unit,148,9980
7/3/14, 16:42:04.405,, IOR-P10500-0-3859, IOR,305,10, P-Channel TX, 0x62 - Acknowledge User Data,,
7/3/14, 16:42:04.408,, IOR-R1200-0-36ED, IOR,305,4, R-Channel RX, 0x62 - Acknowledge User Data (R-channel),146,14920
7/3/14, 16:42:17.406,, IOR-R1200-0-36ED, IOR,305,4, R-Channel RX, 0x22 - Access Request (R/T-Channel),160,14960
